latitude,longitude,timestamp,unit,trip_number
41.51149,-74.08361,2023-12-09 07:29:20+00:00,2000,6
41.51176,-74.08371,2023-12-09 07:29:21+00:00,2000,6
41.51182,-74.08374,2023-12-09 07:29:22+00:00,2000,6
41.512,-74.08382,2023-12-09 07:29:23+00:00,2000,6
41.5121,-74.08387,2023-12-09 07:29:24+00:00,2000,6
41.5121,-74.08387,2023-12-09 07:29:24+00:00,2000,6
41.51206,-74.08403,2023-12-09 07:29:25+00:00,2000,6
41.51202,-74.08417,2023-12-09 07:29:25+00:00,2000,6
41.51196,-74.08437,2023-12-09 07:29:26+00:00,2000,6
41.5119,-74.08454,2023-12-09 07:29:27+00:00,2000,6
41.51184,-74.0847,2023-12-09 07:29:28+00:00,2000,6
41.51177,-74.08485,2023-12-09 07:29:29+00:00,2000,6
41.51168,-74.08503,2023-12-09 07:29:30+00:00,2000,6
41.51162,-74.08515,2023-12-09 07:29:31+00:00,2000,6
41.51154,-74.08529,2023-12-09 07:29:32+00:00,2000,6
41.51145,-74.08544,2023-12-09 07:29:33+00:00,2000,6
41.51135,-74.08558,2023-12-09 07:29:34+00:00,2000,6
41.51125,-74.08574,2023-12-09 07:29:35+00:00,2000,6
41.51115,-74.08584,2023-12-09 07:29:36+00:00,2000,6
41.51106,-74.08594,2023-12-09 07:29:36+00:00,2000,6
41.51105,-74.08595,2023-12-09 07:29:37+00:00,2000,6
41.51094,-74.08607,2023-12-09 07:29:37+00:00,2000,6
41.51083,-74.08618,2023-12-09 07:29:38+00:00,2000,6
41.51072,-74.08628,2023-12-09 07:29:39+00:00,2000,6
41.5106,-74.08637,2023-12-09 07:29:40+00:00,2000,6
41.51048,-74.08646,2023-12-09 07:29:41+00:00,2000,6
41.51036,-74.08655,2023-12-09 07:29:42+00:00,2000,6
41.51023,-74.08663,2023-12-09 07:29:43+00:00,2000,6
41.5101,-74.08669,2023-12-09 07:29:44+00:00,2000,6
41.50998,-74.08675,2023-12-09 07:29:45+00:00,2000,6
41.50985,-74.08681,2023-12-09 07:29:46+00:00,2000,6
41.50963,-74.08688,2023-12-09 07:29:47+00:00,2000,6
41.50906,-74.0871,2023-12-09 07:29:51+00:00,2000,6
41.5089,-74.08716,2023-12-09 07:29:52+00:00,2000,6
41.50874,-74.08721,2023-12-09 07:29:53+00:00,2000,6
41.50862,-74.08726,2023-12-09 07:29:54+00:00,2000,6
41.50849,-74.08731,2023-12-09 07:29:55+00:00,2000,6
41.50836,-74.08736,2023-12-09 07:29:56+00:00,2000,6
41.50823,-74.08733,2023-12-09 07:29:57+00:00,2000,6
41.50823,-74.08733,2023-12-09 07:29:57+00:00,2000,6
41.50826,-74.08751,2023-12-09 07:29:58+00:00,2000,6
41.50845,-74.08847,2023-12-09 07:30:03+00:00,2000,6
41.50854,-74.089,2023-12-09 07:30:05+00:00,2000,6
41.50854,-74.08903,2023-12-09 07:30:06+00:00,2000,6
41.50863,-74.08947,2023-12-09 07:30:08+00:00,2000,6
41.50865,-74.08961,2023-12-09 07:30:09+00:00,2000,6
41.50871,-74.0899,2023-12-09 07:30:10+00:00,2000,6
41.50878,-74.09021,2023-12-09 07:30:12+00:00,2000,6
41.50882,-74.0904,2023-12-09 07:30:13+00:00,2000,6
41.50883,-74.09044,2023-12-09 07:30:13+00:00,2000,6
41.50892,-74.09078,2023-12-09 07:30:15+00:00,2000,6
41.50894,-74.09084,2023-12-09 07:30:15+00:00,2000,6
41.50896,-74.09092,2023-12-09 07:30:15+00:00,2000,6
41.50912,-74.09135,2023-12-09 07:30:18+00:00,2000,6
41.5092,-74.09156,2023-12-09 07:30:19+00:00,2000,6
41.5094,-74.09197,2023-12-09 07:30:21+00:00,2000,6
41.50959,-74.09239,2023-12-09 07:30:24+00:00,2000,6
41.51037,-74.09397,2023-12-09 07:30:33+00:00,2000,6
41.51099,-74.09525,2023-12-09 07:30:41+00:00,2000,6
41.51204,-74.0975,2023-12-09 07:30:54+00:00,2000,6
41.51239,-74.09825,2023-12-09 07:30:59+00:00,2000,6
41.51357,-74.10073,2023-12-09 07:31:13+00:00,2000,6
41.51412,-74.10186,2023-12-09 07:31:20+00:00,2000,6
41.51424,-74.10208,2023-12-09 07:31:21+00:00,2000,6
41.5145,-74.10257,2023-12-09 07:31:24+00:00,2000,6
41.51463,-74.10279,2023-12-09 07:31:26+00:00,2000,6
41.51493,-74.10327,2023-12-09 07:31:29+00:00,2000,6
41.51554,-74.10419,2023-12-09 07:31:35+00:00,2000,6
41.51582,-74.10457,2023-12-09 07:31:38+00:00,2000,6
41.51608,-74.10493,2023-12-09 07:31:40+00:00,2000,6
41.51616,-74.10504,2023-12-09 07:31:41+00:00,2000,6
41.51717,-74.10623,2023-12-09 07:31:50+00:00,2000,6
41.51746,-74.10658,2023-12-09 07:31:53+00:00,2000,6
41.51774,-74.10691,2023-12-09 07:31:55+00:00,2000,6
41.51779,-74.10697,2023-12-09 07:31:56+00:00,2000,6
41.51843,-74.10772,2023-12-09 07:32:01+00:00,2000,6
41.51865,-74.10788,2023-12-09 07:32:03+00:00,2000,6
41.51874,-74.10795,2023-12-09 07:32:04+00:00,2000,6
41.51883,-74.10805,2023-12-09 07:32:04+00:00,2000,6
41.51884,-74.10806,2023-12-09 07:32:04+00:00,2000,6
41.5189,-74.10814,2023-12-09 07:32:05+00:00,2000,6
41.51977,-74.10916,2023-12-09 07:32:13+00:00,2000,6
41.52086,-74.11048,2023-12-09 07:32:23+00:00,2000,6
41.52086,-74.11048,2023-12-09 07:32:23+00:00,2000,6
41.52078,-74.11058,2023-12-09 07:32:23+00:00,2000,6
41.51936,-74.11242,2023-12-09 07:32:37+00:00,2000,6
41.51921,-74.11261,2023-12-09 07:32:38+00:00,2000,6
41.51908,-74.1128,2023-12-09 07:32:39+00:00,2000,6
41.51895,-74.11299,2023-12-09 07:32:40+00:00,2000,6
41.51807,-74.11442,2023-12-09 07:32:50+00:00,2000,6
41.51651,-74.11726,2023-12-09 07:33:07+00:00,2000,6
41.51626,-74.11773,2023-12-09 07:33:10+00:00,2000,6
41.51603,-74.11817,2023-12-09 07:33:13+00:00,2000,6
41.51582,-74.11858,2023-12-09 07:33:15+00:00,2000,6
41.51565,-74.11894,2023-12-09 07:33:17+00:00,2000,6
41.51548,-74.1193,2023-12-09 07:33:20+00:00,2000,6
41.51532,-74.11967,2023-12-09 07:33:22+00:00,2000,6
41.51515,-74.12005,2023-12-09 07:33:24+00:00,2000,6
41.515,-74.12043,2023-12-09 07:33:26+00:00,2000,6
41.51485,-74.12082,2023-12-09 07:33:28+00:00,2000,6
41.51471,-74.12119,2023-12-09 07:33:30+00:00,2000,6
41.51456,-74.12159,2023-12-09 07:33:33+00:00,2000,6
41.51442,-74.12199,2023-12-09 07:33:35+00:00,2000,6
41.51429,-74.12238,2023-12-09 07:33:37+00:00,2000,6
41.51417,-74.12278,2023-12-09 07:33:39+00:00,2000,6
41.51405,-74.12318,2023-12-09 07:33:41+00:00,2000,6
41.51394,-74.12359,2023-12-09 07:33:43+00:00,2000,6
41.51394,-74.12359,2023-12-09 07:33:43+00:00,2000,6
41.51383,-74.12398,2023-12-09 07:33:45+00:00,2000,6
41.51375,-74.12427,2023-12-09 07:33:47+00:00,2000,6
41.51365,-74.12467,2023-12-09 07:33:49+00:00,2000,6
41.51359,-74.12495,2023-12-09 07:33:51+00:00,2000,6
41.51349,-74.12537,2023-12-09 07:33:53+00:00,2000,6
41.51331,-74.12619,2023-12-09 07:33:57+00:00,2000,6
41.51316,-74.12705,2023-12-09 07:34:01+00:00,2000,6
41.51309,-74.12747,2023-12-09 07:34:04+00:00,2000,6
41.51299,-74.12814,2023-12-09 07:34:07+00:00,2000,6
41.51292,-74.12874,2023-12-09 07:34:10+00:00,2000,6
41.51283,-74.12958,2023-12-09 07:34:14+00:00,2000,6
41.51277,-74.13017,2023-12-09 07:34:17+00:00,2000,6
41.51273,-74.1306,2023-12-09 07:34:19+00:00,2000,6
41.51268,-74.13117,2023-12-09 07:34:22+00:00,2000,6
41.51262,-74.13187,2023-12-09 07:34:26+00:00,2000,6
41.51259,-74.13231,2023-12-09 07:34:28+00:00,2000,6
41.51253,-74.13319,2023-12-09 07:34:32+00:00,2000,6
41.51248,-74.1339,2023-12-09 07:34:36+00:00,2000,6
41.51244,-74.13461,2023-12-09 07:34:40+00:00,2000,6
41.51241,-74.13519,2023-12-09 07:34:42+00:00,2000,6
41.51238,-74.13575,2023-12-09 07:34:45+00:00,2000,6
41.51236,-74.13634,2023-12-09 07:34:48+00:00,2000,6
41.51232,-74.13698,2023-12-09 07:34:51+00:00,2000,6
41.5123,-74.13756,2023-12-09 07:34:54+00:00,2000,6
41.51229,-74.13813,2023-12-09 07:34:57+00:00,2000,6
41.51228,-74.1387,2023-12-09 07:35:00+00:00,2000,6
41.51227,-74.13927,2023-12-09 07:35:03+00:00,2000,6
41.51226,-74.13984,2023-12-09 07:35:06+00:00,2000,6
41.51225,-74.14043,2023-12-09 07:35:09+00:00,2000,6
41.51225,-74.14098,2023-12-09 07:35:11+00:00,2000,6
41.51225,-74.14156,2023-12-09 07:35:14+00:00,2000,6
41.51226,-74.14214,2023-12-09 07:35:17+00:00,2000,6
41.51226,-74.14271,2023-12-09 07:35:20+00:00,2000,6
41.51227,-74.1433,2023-12-09 07:35:23+00:00,2000,6
41.51229,-74.14387,2023-12-09 07:35:26+00:00,2000,6
41.5123,-74.14444,2023-12-09 07:35:29+00:00,2000,6
41.51232,-74.14503,2023-12-09 07:35:32+00:00,2000,6
41.51234,-74.14558,2023-12-09 07:35:34+00:00,2000,6
41.51236,-74.14616,2023-12-09 07:35:37+00:00,2000,6
41.51239,-74.14673,2023-12-09 07:35:40+00:00,2000,6
41.51242,-74.14733,2023-12-09 07:35:43+00:00,2000,6
41.51245,-74.14789,2023-12-09 07:35:46+00:00,2000,6
41.51249,-74.14846,2023-12-09 07:35:49+00:00,2000,6
41.51254,-74.14903,2023-12-09 07:35:52+00:00,2000,6
41.51259,-74.1496,2023-12-09 07:35:55+00:00,2000,6
41.51265,-74.15017,2023-12-09 07:35:57+00:00,2000,6
41.51272,-74.15073,2023-12-09 07:36:00+00:00,2000,6
41.5128,-74.15131,2023-12-09 07:36:03+00:00,2000,6
41.51288,-74.15187,2023-12-09 07:36:06+00:00,2000,6
41.51297,-74.15243,2023-12-09 07:36:09+00:00,2000,6
41.51306,-74.15299,2023-12-09 07:36:12+00:00,2000,6
41.51316,-74.15357,2023-12-09 07:36:15+00:00,2000,6
41.51327,-74.15413,2023-12-09 07:36:18+00:00,2000,6
41.51339,-74.15468,2023-12-09 07:36:21+00:00,2000,6
41.51351,-74.15524,2023-12-09 07:36:23+00:00,2000,6
41.51364,-74.15578,2023-12-09 07:36:26+00:00,2000,6
41.51377,-74.15634,2023-12-09 07:36:29+00:00,2000,6
41.51391,-74.15688,2023-12-09 07:36:32+00:00,2000,6
41.51406,-74.15742,2023-12-09 07:36:35+00:00,2000,6
41.51421,-74.15795,2023-12-09 07:36:38+00:00,2000,6
41.51437,-74.1585,2023-12-09 07:36:41+00:00,2000,6
41.51454,-74.15904,2023-12-09 07:36:44+00:00,2000,6
41.51472,-74.15957,2023-12-09 07:36:47+00:00,2000,6
41.51489,-74.16009,2023-12-09 07:36:49+00:00,2000,6
41.51607,-74.1635,2023-12-09 07:37:08+00:00,2000,6
41.5162,-74.16389,2023-12-09 07:37:10+00:00,2000,6
41.51633,-74.16431,2023-12-09 07:37:13+00:00,2000,6
41.51635,-74.16437,2023-12-09 07:37:13+00:00,2000,6
41.51645,-74.1647,2023-12-09 07:37:15+00:00,2000,6
41.51656,-74.1651,2023-12-09 07:37:17+00:00,2000,6
41.51666,-74.16551,2023-12-09 07:37:19+00:00,2000,6
41.51676,-74.16593,2023-12-09 07:37:21+00:00,2000,6
41.5168,-74.16609,2023-12-09 07:37:22+00:00,2000,6
41.51686,-74.16634,2023-12-09 07:37:23+00:00,2000,6
41.51695,-74.16676,2023-12-09 07:37:25+00:00,2000,6
41.51703,-74.16717,2023-12-09 07:37:28+00:00,2000,6
41.51711,-74.16759,2023-12-09 07:37:30+00:00,2000,6
41.51718,-74.16801,2023-12-09 07:37:32+00:00,2000,6
41.51724,-74.16842,2023-12-09 07:37:34+00:00,2000,6
41.5173,-74.16886,2023-12-09 07:37:36+00:00,2000,6
41.51736,-74.16929,2023-12-09 07:37:38+00:00,2000,6
41.5174,-74.16972,2023-12-09 07:37:41+00:00,2000,6
41.51744,-74.17016,2023-12-09 07:37:43+00:00,2000,6
41.51749,-74.17071,2023-12-09 07:37:46+00:00,2000,6
41.51754,-74.17127,2023-12-09 07:37:48+00:00,2000,6
41.51759,-74.17187,2023-12-09 07:37:51+00:00,2000,6
41.51763,-74.17242,2023-12-09 07:37:54+00:00,2000,6
41.51767,-74.17298,2023-12-09 07:37:57+00:00,2000,6
41.51771,-74.17357,2023-12-09 07:38:00+00:00,2000,6
41.51774,-74.17414,2023-12-09 07:38:03+00:00,2000,6
41.51778,-74.17471,2023-12-09 07:38:06+00:00,2000,6
41.51781,-74.17529,2023-12-09 07:38:09+00:00,2000,6
41.51784,-74.17586,2023-12-09 07:38:11+00:00,2000,6
41.51786,-74.17645,2023-12-09 07:38:14+00:00,2000,6
41.51788,-74.17703,2023-12-09 07:38:17+00:00,2000,6
41.51789,-74.17759,2023-12-09 07:38:20+00:00,2000,6
41.51791,-74.17819,2023-12-09 07:38:23+00:00,2000,6
41.51792,-74.17875,2023-12-09 07:38:26+00:00,2000,6
41.51793,-74.17933,2023-12-09 07:38:29+00:00,2000,6
41.51794,-74.17988,2023-12-09 07:38:32+00:00,2000,6
41.51794,-74.18045,2023-12-09 07:38:34+00:00,2000,6
41.51795,-74.18094,2023-12-09 07:38:37+00:00,2000,6
41.51794,-74.1814,2023-12-09 07:38:39+00:00,2000,6
41.51794,-74.18173,2023-12-09 07:38:41+00:00,2000,6
41.51794,-74.18221,2023-12-09 07:38:43+00:00,2000,6
41.51793,-74.1827,2023-12-09 07:38:46+00:00,2000,6
41.51792,-74.18324,2023-12-09 07:38:48+00:00,2000,6
41.51791,-74.18376,2023-12-09 07:38:51+00:00,2000,6
41.5179,-74.18431,2023-12-09 07:38:54+00:00,2000,6
41.51788,-74.18488,2023-12-09 07:38:56+00:00,2000,6
41.51785,-74.18547,2023-12-09 07:38:59+00:00,2000,6
41.51783,-74.18605,2023-12-09 07:39:02+00:00,2000,6
41.51781,-74.18657,2023-12-09 07:39:05+00:00,2000,6
41.51778,-74.18706,2023-12-09 07:39:07+00:00,2000,6
41.51776,-74.18753,2023-12-09 07:39:10+00:00,2000,6
41.51769,-74.18872,2023-12-09 07:39:16+00:00,2000,6
41.51765,-74.18923,2023-12-09 07:39:18+00:00,2000,6
41.51761,-74.18981,2023-12-09 07:39:21+00:00,2000,6
41.51756,-74.19038,2023-12-09 07:39:24+00:00,2000,6
41.51751,-74.1908,2023-12-09 07:39:26+00:00,2000,6
41.51745,-74.19124,2023-12-09 07:39:28+00:00,2000,6
41.51739,-74.19166,2023-12-09 07:39:31+00:00,2000,6
41.51731,-74.19208,2023-12-09 07:39:33+00:00,2000,6
41.51722,-74.19251,2023-12-09 07:39:35+00:00,2000,6
41.51713,-74.19291,2023-12-09 07:39:37+00:00,2000,6
41.51703,-74.19332,2023-12-09 07:39:39+00:00,2000,6
41.51692,-74.19374,2023-12-09 07:39:41+00:00,2000,6
41.51681,-74.19412,2023-12-09 07:39:43+00:00,2000,6
41.51668,-74.19453,2023-12-09 07:39:46+00:00,2000,6
41.51654,-74.19491,2023-12-09 07:39:48+00:00,2000,6
41.51639,-74.19531,2023-12-09 07:39:50+00:00,2000,6
41.51624,-74.19568,2023-12-09 07:39:52+00:00,2000,6
41.51608,-74.19606,2023-12-09 07:39:54+00:00,2000,6
41.51591,-74.19643,2023-12-09 07:39:56+00:00,2000,6
41.51574,-74.19679,2023-12-09 07:39:59+00:00,2000,6
41.51424,-74.19981,2023-12-09 07:40:17+00:00,2000,6
41.51413,-74.20004,2023-12-09 07:40:18+00:00,2000,6
41.5139,-74.20053,2023-12-09 07:40:21+00:00,2000,6
41.51367,-74.20102,2023-12-09 07:40:24+00:00,2000,6
41.51345,-74.20151,2023-12-09 07:40:27+00:00,2000,6
41.51324,-74.20202,2023-12-09 07:40:30+00:00,2000,6
41.51303,-74.20252,2023-12-09 07:40:32+00:00,2000,6
41.51303,-74.20252,2023-12-09 07:40:32+00:00,2000,6
41.51284,-74.20311,2023-12-09 07:40:36+00:00,2000,6
41.51276,-74.2034,2023-12-09 07:40:37+00:00,2000,6
41.51268,-74.20366,2023-12-09 07:40:39+00:00,2000,6
41.5126,-74.20396,2023-12-09 07:40:40+00:00,2000,6
41.51176,-74.20724,2023-12-09 07:40:58+00:00,2000,6
41.51172,-74.20736,2023-12-09 07:40:58+00:00,2000,6
41.51172,-74.20736,2023-12-09 07:40:58+00:00,2000,6
41.51021,-74.20714,2023-12-09 07:41:08+00:00,2000,6
41.51021,-74.20714,2023-12-09 07:41:08+00:00,2000,6
41.51011,-74.20719,2023-12-09 07:41:09+00:00,2000,6
41.50996,-74.20719,2023-12-09 07:41:10+00:00,2000,6
41.50983,-74.2072,2023-12-09 07:41:11+00:00,2000,6
41.50977,-74.20722,2023-12-09 07:41:11+00:00,2000,6
41.50971,-74.20727,2023-12-09 07:41:12+00:00,2000,6
41.50965,-74.20738,2023-12-09 07:41:12+00:00,2000,6
41.50961,-74.20761,2023-12-09 07:41:14+00:00,2000,6
41.50955,-74.20811,2023-12-09 07:41:16+00:00,2000,6
41.50948,-74.20857,2023-12-09 07:41:19+00:00,2000,6
41.50941,-74.20896,2023-12-09 07:41:21+00:00,2000,6
41.50935,-74.20925,2023-12-09 07:41:22+00:00,2000,6
41.50928,-74.20955,2023-12-09 07:41:24+00:00,2000,6
41.50913,-74.21,2023-12-09 07:41:26+00:00,2000,6
41.50889,-74.21072,2023-12-09 07:41:30+00:00,2000,6
41.50881,-74.21093,2023-12-09 07:41:31+00:00,2000,6
41.50825,-74.21238,2023-12-09 07:41:39+00:00,2000,6
41.5075,-74.21432,2023-12-09 07:41:50+00:00,2000,6
41.50702,-74.21557,2023-12-09 07:41:57+00:00,2000,6
41.50638,-74.21723,2023-12-09 07:42:07+00:00,2000,6
41.50633,-74.21736,2023-12-09 07:42:07+00:00,2000,6
41.50624,-74.21757,2023-12-09 07:42:09+00:00,2000,6
41.5061,-74.21787,2023-12-09 07:42:10+00:00,2000,6
41.50602,-74.218,2023-12-09 07:42:11+00:00,2000,6
41.50597,-74.21809,2023-12-09 07:42:12+00:00,2000,6
41.50578,-74.21835,2023-12-09 07:42:14+00:00,2000,6
41.50555,-74.2186,2023-12-09 07:42:15+00:00,2000,6
41.50545,-74.21868,2023-12-09 07:42:16+00:00,2000,6
41.50513,-74.2189,2023-12-09 07:42:19+00:00,2000,6
41.50501,-74.21897,2023-12-09 07:42:20+00:00,2000,6
41.50494,-74.21901,2023-12-09 07:42:20+00:00,2000,6
41.50494,-74.21901,2023-12-09 07:42:20+00:00,2000,6
41.49664,-74.12201,2023-12-09 07:50:28+00:00,2000,6
41.4966,-74.12235,2023-12-09 07:50:30+00:00,2000,6
