latitude,longitude,timestamp,unit,trip_number
40.69714,-74.1909,2023-12-05 13:40:35+00:00,1000,10
40.69732,-74.19079,2023-12-05 13:40:36+00:00,1000,10
40.69755,-74.19062,2023-12-05 13:40:38+00:00,1000,10
40.69767,-74.19051,2023-12-05 13:40:39+00:00,1000,10
40.69772,-74.19042,2023-12-05 13:40:39+00:00,1000,10
40.69775,-74.19031,2023-12-05 13:40:40+00:00,1000,10
40.69775,-74.19018,2023-12-05 13:40:40+00:00,1000,10
40.69771,-74.18996,2023-12-05 13:40:42+00:00,1000,10
40.69764,-74.18978,2023-12-05 13:40:43+00:00,1000,10
40.69756,-74.18961,2023-12-05 13:40:44+00:00,1000,10
40.69756,-74.18961,2023-12-05 13:40:44+00:00,1000,10
40.69647,-74.18979,2023-12-05 13:40:51+00:00,1000,10
40.69642,-74.1898,2023-12-05 13:40:51+00:00,1000,10
40.69637,-74.1898,2023-12-05 13:40:52+00:00,1000,10
40.69632,-74.1898,2023-12-05 13:40:52+00:00,1000,10
40.69627,-74.18979,2023-12-05 13:40:52+00:00,1000,10
40.69622,-74.18977,2023-12-05 13:40:53+00:00,1000,10
40.69616,-74.18975,2023-12-05 13:40:53+00:00,1000,10
40.69611,-74.18972,2023-12-05 13:40:53+00:00,1000,10
40.69607,-74.18969,2023-12-05 13:40:54+00:00,1000,10
40.69602,-74.18964,2023-12-05 13:40:54+00:00,1000,10
40.6957,-74.18935,2023-12-05 13:40:57+00:00,1000,10
40.69566,-74.18931,2023-12-05 13:40:57+00:00,1000,10
40.69561,-74.18927,2023-12-05 13:40:57+00:00,1000,10
40.69557,-74.18924,2023-12-05 13:40:58+00:00,1000,10
40.69552,-74.18921,2023-12-05 13:40:58+00:00,1000,10
40.69547,-74.18919,2023-12-05 13:40:58+00:00,1000,10
40.69542,-74.18917,2023-12-05 13:40:59+00:00,1000,10
40.69537,-74.18915,2023-12-05 13:40:59+00:00,1000,10
40.69533,-74.18914,2023-12-05 13:40:59+00:00,1000,10
40.69528,-74.18914,2023-12-05 13:41:00+00:00,1000,10
40.69523,-74.18913,2023-12-05 13:41:00+00:00,1000,10
40.69517,-74.18914,2023-12-05 13:41:00+00:00,1000,10
40.69512,-74.18915,2023-12-05 13:41:01+00:00,1000,10
40.69505,-74.18916,2023-12-05 13:41:01+00:00,1000,10
40.69498,-74.18917,2023-12-05 13:41:02+00:00,1000,10
40.6949,-74.18919,2023-12-05 13:41:02+00:00,1000,10
40.6947,-74.18925,2023-12-05 13:41:04+00:00,1000,10
40.6942,-74.18953,2023-12-05 13:41:07+00:00,1000,10
40.69399,-74.18965,2023-12-05 13:41:09+00:00,1000,10
40.69223,-74.19071,2023-12-05 13:41:22+00:00,1000,10
40.69149,-74.19115,2023-12-05 13:41:27+00:00,1000,10
40.69145,-74.19118,2023-12-05 13:41:27+00:00,1000,10
40.69095,-74.19148,2023-12-05 13:41:31+00:00,1000,10
40.69089,-74.19152,2023-12-05 13:41:32+00:00,1000,10
40.69072,-74.19162,2023-12-05 13:41:33+00:00,1000,10
40.69069,-74.19164,2023-12-05 13:41:33+00:00,1000,10
40.69061,-74.19168,2023-12-05 13:41:34+00:00,1000,10
40.69049,-74.19175,2023-12-05 13:41:34+00:00,1000,10
40.69028,-74.19186,2023-12-05 13:41:36+00:00,1000,10
40.69008,-74.19197,2023-12-05 13:41:37+00:00,1000,10
40.68989,-74.19206,2023-12-05 13:41:39+00:00,1000,10
40.6896,-74.1922,2023-12-05 13:41:41+00:00,1000,10
40.6896,-74.1922,2023-12-05 13:41:41+00:00,1000,10
40.6896,-74.1922,2023-12-05 13:41:41+00:00,1000,10
40.68946,-74.19227,2023-12-05 13:41:42+00:00,1000,10
40.68946,-74.19227,2023-12-05 13:41:42+00:00,1000,10
40.68925,-74.19236,2023-12-05 13:41:43+00:00,1000,10
40.68904,-74.19245,2023-12-05 13:41:45+00:00,1000,10
40.68883,-74.19254,2023-12-05 13:41:46+00:00,1000,10
40.68862,-74.19261,2023-12-05 13:41:48+00:00,1000,10
40.68841,-74.19268,2023-12-05 13:41:49+00:00,1000,10
40.68826,-74.19273,2023-12-05 13:41:50+00:00,1000,10
40.68826,-74.19273,2023-12-05 13:41:50+00:00,1000,10
40.68798,-74.1928,2023-12-05 13:41:52+00:00,1000,10
40.68788,-74.19282,2023-12-05 13:41:53+00:00,1000,10
40.68776,-74.19285,2023-12-05 13:41:54+00:00,1000,10
